frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento
445,144480,27209.4,92509479,9197543,25891850,2702528,38749236
446,144480,28012.9,95240692,9546486,26868103,2883648,39828813
447,144480,27972.6,95103026,9465624,26895428,2806294,39579369
448,144480,26903.4,91468229,9140139,25596406,2681570,38271846
449,144480,26709.2,90808248,9159001,25218616,2702776,38097591
450,144480,26652.8,90616937,9205945,24905863,2706509,38160366
451,144480,27153.0,92317678,9294166,25766774,2734470,38527985
452,144480,30217.3,102735754,10537734,29713402,3183905,42531495
453,144480,25868.3,87949297,9058812,23834727,2665303,37111158
454,144480,27018.8,91861506,9174261,25766594,2729524,38380172
455,144480,26466.2,89982327,9138263,25006528,2688399,37587479
