frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas,tp_isotermico,checksum
192,144480,30396.6,103346944,9594188,27685762,2743179,37611971,144480,53985,5113761,7687671,1575139,52529,768067,2600640,20344,0
193,144480,30796.0,104700961,9386618,29147173,2674507,37892013,144480,53720,5487058,8217403,1718750,52577,768484,2600640,20132,0
194,144480,30459.7,103561348,9551824,27799011,2742884,37687397,144480,53662,5169562,7682032,1584274,52621,769122,2600640,20071,0
195,144480,30951.4,105232414,9605068,28983976,2736696,38013451,144480,53745,5319755,8291642,1679465,52689,770179,2600640,20036,0
196,144480,30896.7,105045890,9660760,28375910,2769970,38252605,144480,53976,5228611,8062872,1639729,52704,770819,2600640,19910,0
197,144480,32484.3,110443696,9840280,30601896,2954564,39947392,144480,53885,5511100,8939560,1762464,52720,771384,2600640,19964,0
198,144480,29860.1,101523252,9339562,27181305,2682599,37074579,144480,53729,5001121,7447828,1546455,52783,771963,2600640,19831,0
199,144480,31883.6,108401486,9660896,30419710,2778611,39207981,144480,53963,5676492,8922592,1774775,52825,772957,2600640,19670,0
200,144480,31166.9,105964230,9621184,29057734,2773851,38451636,144480,53693,5471175,8292658,1684839,52864,773766,2600640,19618,838295794232063912
201,144480,35343.2,120163574,9801044,32178955,4400209,46998015,144480,53565,6078157,9125964,1869121,52909,774319,2600640,19559,0
202,144480,29676.0,100897448,9401068,27018922,2662418,36629383,144480,54000,5011929,7405117,1546349,52942,774774,2600640,19466,0
203,144480,34587.5,117594065,9554781,31214509,4386025,46257359,144480,53564,5946246,8867951,1795117,52947,774636,2600640,19366,0
204,144480,30844.1,104868716,9362716,29327858,2658113,37964543,144480,53708,5477574,8491097,1724287,52988,775345,2600640,19344,0
205,144480,30735.6,104497573,9410181,29168055,2657694,37929462,144480,53724,5445930,8410193,1704218,53086,776264,2600640,19355,0
206,144480,32014.9,108846478,10050740,29506612,2933221,39407644,144480,53877,5320507,8503878,1657489,53105,776695,2600640,19142,0
207,144480,29944.6,101811334,9330246,27768633,2658485,36841689,144480,53973,5123495,7820179,1618719,53109,777170,2600640,18984,0
